GPIO,Power Domain,ADC,HS/QSPI,Touch,Debug,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO0,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO1,RTC,ADC1_CH0,,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO2,RTC,ADC1_CH1,,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO3,RTC,ADC1_CH2,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO4,RTC,ADC1_CH3,,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO5,RTC,ADC1_CH4,,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO6,RTC,ADC1_CH5,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO7,RTC,ADC1_CH6,,T7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO8,RTC,ADC1_CH7,,T8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO9,RTC,ADC1_CH8,FSPIHD,T9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO10,RTC,ADC1_CH9,FSPICS0,T10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO11,RTC,ADC2_CH0,FSPID,T11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO12,RTC,ADC2_CH1,FSPICLK,T12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO13,RTC,ADC2_CH2,FSPIQ,T13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO14,RTC,ADC2_CH3,FSPIWP,T14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO15,RTC,ADC2_CH4,,,U0RTS,XTAL_32K_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO16,RTC,ADC2_CH5,,,U0CTS,XTAL_32K_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO17,RTC,ADC2_CH6,,,U1TXD,DAC_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO18,RTC,ADC2_CH7,,,U1RXD,DAC_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO19,RTC,ADC2_CH8,,,U1RTS,USB_D-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO20,RTC,ADC2_CH9,,,U1CTS,USB_D+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO21,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO26,SPI,,SPICS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO27,SPI,,SPIHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO28,SPI,,SPIWP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO29,SPI,,SPICS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO30,SPI,,SPICLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO31,SPI,,SPIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO32,SPI,,SPID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO33,SPI/CPU,,FSPIHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO34,SPI/CPU,,FSPICS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO35,SPI/CPU,,FSPID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO36,SPI/CPU,,FSPICLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO37,SPI/CPU,,FSPIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO38,CPU,,FSPIWP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO39,CPU,,,,MTCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO40,CPU,,,,MTDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO41,CPU,,,,MTDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO42,CPU,,,,MTMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO43,CPU,,,,U0TXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO44,CPU,,,,U0RXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO45,CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO46,CPU,,,,,INPUT ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,The,RP2040,,Pi,Raspberry,Cortex-M0+,running,at,up,to,133MHz,with,264kB,on-chip,SRAM,and,built,in,USB.,Flash,memory,is,provided,by,external,QSPI,chip.,All,GPIO,is,3.3V,in/out,max,unless,otherwise,stated.
